Code.Class	Name	Accession	20140224_il10_brains_custom2_01.RCC	20140224_il10_brains_custom2_02.RCC	20140224_il10_brains_custom2_03.RCC	20140224_il10_brains_custom2_04.RCC	20140224_il10_brains_custom2_05.RCC	20140224_il10_brains_custom2_06.RCC	20140224_il10_brains_custom2_07.RCC	20140224_il10_brains_custom2_08.RCC	20140224_il10_brains_custom2_09.RCC	20140224_il10_brains_custom2_10.RCC	20140224_il10_brains_custom2_11.RCC	20140224_il10_brains_custom2_12.RCC	20140319_il1ntg_c-2exp3_03.RCC	20140319_il1ntg_c-2exp3_04.RCC	20140319_il1ntg_c-2exp3_05.RCC	20140319_il1ntg_c-2exp3_06.RCC	20140319_il1ntg_c-2exp3_07.RCC	20140319_il1ntg_c-2exp3_08.RCC	20140319_il1ntg_c-2exp3_09.RCC	20140319_il1ntg_c-2exp3_11.RCC	20140319_il1ntg_c-2exp3_12.RCC	20140321_old_mice_bri42-crnd8_07.RCC	20140321_old_mice_bri42-crnd8_08.RCC	20140321_old_mice_bri42-crnd8_09.RCC	20140321_old_mice_bri42-crnd8_10.RCC	20140321_old_mice_bri42-crnd8_11.RCC	20140321_old_mice_bri42-crnd8_12.RCC	
62	Endogenous	Connexin47	NM_080454.3	107	119	32	111	174	166	186	209	28	187	75	203	27	19	90	63	118	96	26	147	99	238	202	88	281	329	346
63	Endogenous	Creb1	NM_001037726.1	222	173	55	189	294	237	242	269	65	288	188	290	52	68	172	158	180	152	35	153	130	331	367	148	413	339	221
64	Endogenous	Crp	NM_007768.4	7	5	1	1	4	3	3	10	1	4	4	6	2	2	2	3	3	3	2	2	1	3	6	1	6	6	2
65	Endogenous	Csf1	NM_001113530.1	138	129	62	119	144	144	203	229	39	143	106	195	32	30	76	57	111	96	25	86	100	321	344	138	220	204	199
66	Endogenous	Csf1R/cd115	NM_001037859.2	211	279	82	210	293	262	263	296	91	329	227	333	60	58	116	80	226	184	31	118	100	598	683	275	397	393	255
67	Endogenous	Ctsb	NM_007798.2	324	264	74	222	322	326	390	453	103	332	251	350	61	75	146	133	268	179	46	177	167	511	535	234	473	492	353
68	Endogenous	Ctsc	NM_009982.4	234	398	124	83	149	96	399	556	122	120	109	157	99	32	85	62	327	212	49	71	82	218	235	101	114	98	117
69	Endogenous	Ctsd	NM_009983.2	5647	6033	1803	4580	5653	5856	6683	9391	1861	6285	5936	7080	1920	1324	2743	2143	5069	4081	1156	2401	2654	9656	11260	5260	5006	4854	4544
70	Endogenous	Cxcl10	NM_021274.1	18	39	13	14	11	9	32	57	7	16	8	13	5	1	24	12	40	29	8	11	3	83	57	18	18	5	9
71	Endogenous	Cxcl5	NM_009141.2	7	27	3	21	29	27	28	13	6	21	11	25	2	6	15	17	21	13	3	14	17	76	57	30	37	20	17
72	Endogenous	Cxcl8	NM_011339.2	7	4	1	2	2	1	1	3	1	2	3	2	1	1	4	2	2	1	1	1	3	1	7	1	2	7	2
73	Endogenous	Cxcl9	NM_008599.4	28	70	16	6	5	11	35	73	21	7	10	8	12	8	37	14	95	39	11	11	9	24	12	9	13	14	6
74	Endogenous	Cxcr4	NM_009911.3	43	39	13	23	26	27	42	69	17	28	20	18	5	9	20	24	12	20	1	10	24	36	39	9	28	23	16
75	Endogenous	Dock2	NM_033374.3	21	20	7	8	14	11	13	24	5	9	18	13	4	4	5	7	22	19	4	6	7	23	46	10	20	13	14
76	Endogenous	Drp1	NM_001025947.1	1135	1038	343	1059	1586	1345	1586	1434	378	1354	1158	1746	285	429	996	778	1038	1050	203	982	837	1263	1630	627	1726	1693	1426
77	Endogenous	ECE1	NM_199307.2	211	175	60	183	253	211	301	293	70	281	220	320	47	64	136	118	143	152	42	192	125	304	373	144	458	357	272
78	Endogenous	ECE2	NM_177942.1	233	310	99	275	478	411	539	422	127	443	336	546	73	148	300	211	268	297	62	263	271	473	549	175	504	474	615
79	Endogenous	FTL	NM_000146.3	5	7	2	3	6	3	9	5	1	3	3	5	1	1	6	1	3	8	1	1	4	3	4	2	6	4	4
80	Endogenous	FTL	NM_010240.2	1299	1113	356	915	1299	1251	1385	1642	353	1217	967	1679	287	292	719	570	798	781	200	713	634	2428	2838	1088	2527	2177	1723
81	Endogenous	FcRn	NM_010189.3	75	81	38	83	126	108	155	183	28	128	99	165	45	38	79	90	106	114	27	82	75	113	126	58	142	105	124
82	Endogenous	Fcer1g	NM_010185.4	84	85	29	38	37	43	103	196	37	66	51	69	30	15	34	19	88	71	24	18	31	120	128	50	59	47	57
83	Endogenous	FcgRI	NM_010186.5	115	138	34	37	35	53	138	224	29	53	50	71	45	18	31	7	123	97	25	27	18	82	84	26	52	25	39
84	Endogenous	FcgRIII	NM_010188.5	107	109	31	53	64	76	127	182	42	57	65	103	43	23	47	32	85	103	21	33	33	102	122	57	63	53	59
85	Endogenous	FcgRIIb	NM_001077189.1	474	537	92	110	144	108	575	981	230	188	135	183	178	42	95	64	325	596	91	79	82	346	288	131	132	123	147
86	Endogenous	FcgRIV	NM_144559.1	132	144	28	15	10	11	143	428	52	13	9	12	51	6	28	19	119	140	32	17	15	34	29	8	15	14	9
87	Endogenous	Fcrls	NM_030707.3	154	181	96	66	108	160	242	367	58	52	42	158	18	15	40	52	81	113	22	19	68	406	292	40	199	85	82
88	Endogenous	Flii	NM_022009.1	223	209	78	201	354	276	311	337	69	341	214	381	64	80	156	125	171	185	56	167	181	432	504	180	543	437	403
89	Endogenous	Fos	NM_010234.2	22	33	15	66	80	124	42	77	10	129	28	142	11	37	33	39	82	40	11	78	45	81	276	128	411	519	255
90	Endogenous	GBA	NM_001077411.1	114	100	38	80	183	145	154	163	35	144	79	137	33	35	90	97	87	92	15	75	98	203	246	83	251	226	178
91	Endogenous	GFAP	NM_001131020.1	1514	1143	343	781	837	865	1673	2515	390	1043	781	1223	342	174	359	229	547	456	167	335	622	2800	3320	1582	597	593	778
92	Endogenous	GRIN2a	NM_008170.2	533	513	143	669	884	627	818	781	144	813	612	739	128	185	417	404	458	457	111	463	386	1078	1143	445	1356	1254	925
93	Endogenous	GRN	NM_002087.2	3	2	1	3	3	2	4	1	1	5	4	1	1	1	1	1	3	3	1	1	1	1	2	1	4	2	5
94	Endogenous	GRN	NM_008175.3	655	693	183	489	662	642	819	1007	165	716	558	828	177	139	316	212	568	433	111	368	334	1101	1255	566	774	805	603
95	Endogenous	Gls	NM_001081081.2	2227	2023	675	2227	3607	3050	3245	3117	689	3017	2280	3266	577	862	1952	1656	2279	2124	445	1998	1781	2642	3423	1231	3779	3572	2840
96	Endogenous	Gusb	NM_010368.1	123	145	52	76	122	125	175	195	42	145	114	141	41	18	51	46	82	101	21	46	63	202	225	81	105	107	98
97	Endogenous	H2-Eb1	NM_010382.2	28	82	23	14	3	6	111	217	32	10	6	8	21	6	28	6	71	43	15	4	5	14	34	12	19	9	15
98	Endogenous	H2Ea	NM_010381.2	91	550	81	4	23	19	391	1190	8	15	13	22	115	32	85	8	686	9	87	1	14	108	63	19	32	39	2
99	Endogenous	HO-1	NM_010442.2	39	43	18	36	33	46	64	83	18	47	23	47	17	9	18	22	55	21	9	30	27	100	119	50	60	44	49
100	Endogenous	Hck	NM_001172117.1	26	27	16	10	7	15	22	39	8	19	11	15	4	4	4	9	23	17	3	3	10	25	25	6	17	14	8
101	Endogenous	Hspb1	NM_013560.2	67	70	24	65	90	65	62	99	14	71	50	88	17	37	70	43	65	54	16	67	43	114	157	45	128	122	87
102	Endogenous	Hspb2	NM_024441.2	6	12	2	5	11	17	18	15	5	17	18	20	1	3	10	10	11	14	3	14	12	15	19	6	13	24	13
103	Endogenous	IDE	NM_031156.2	241	236	80	263	368	306	376	330	95	341	264	387	83	111	250	199	261	261	45	248	215	316	398	118	406	387	341
104	Endogenous	IFIH1	NM_001164477.1	35	45	10	27	36	29	48	81	13	37	27	45	18	14	26	20	53	53	9	25	26	49	34	19	28	36	42
105	Endogenous	IFN-gamma	NM_008337.3	4	6	2	3	4	2	8	4	1	1	1	6	2	1	2	3	9	3	1	3	4	6	5	1	7	7	1
106	Endogenous	IGF1	NM_001111274.1	29	23	6	20	27	26	20	26	6	25	22	18	8	10	15	12	28	18	3	16	20	61	43	27	47	31	22
107	Endogenous	IGFBP2	NM_008342.3	134	201	43	206	316	240	205	232	59	341	204	332	64	91	191	210	184	195	45	221	184	334	374	170	496	473	369
108	Endogenous	IGFBP3	NM_008343.2	47	61	19	64	89	92	78	92	24	73	91	99	14	31	51	36	65	60	16	58	43	106	118	51	126	112	97
109	Endogenous	IGFBP4	NM_010517.3	472	419	135	528	641	462	745	871	112	607	488	699	128	150	315	374	431	431	85	387	351	644	863	316	981	810	781
110	Endogenous	IGFBP5	NM_010518.2	294	219	51	194	331	243	388	330	77	309	214	301	50	58	161	119	149	171	41	163	169	422	513	201	305	298	344
111	Endogenous	IL-10	NM_010548.1	1989	844	312	8	7	2	718	984	307	1	3	4	26	1	3	4	1997	2716	154	5	4	2	5	2	4	6	3
112	Endogenous	IL-1b	NM_008361.3	13	30	12	7	15	9	34	43	4	8	5	19	6	1	7	14	22	28	5	11	11	8	18	6	5	8	4
113	Endogenous	IL-4	NM_021283.2	7	5	1	2	4	8	3	6	2	2	9	7	2	6	3	4	9	10	3	10	9	8	12	1	12	6	4
114	Endogenous	IL-6	NM_031168.1	9	8	2	4	9	15	10	5	1	10	5	14	1	1	3	3	4	6	1	5	8	11	16	6	6	8	5
115	Endogenous	ITM2b	NM_008410.2	5297	5090	1445	4345	6616	5591	7071	6737	1693	6526	4482	7261	1336	1441	3574	2721	4177	3848	931	3436	3173	7833	9162	3679	8707	8611	7116
116	Endogenous	ITM2b	NM_021999.2	5	9	1	10	14	4	12	19	3	3	7	7	1	1	3	5	5	6	1	2	8	13	9	5	10	5	5
117	Endogenous	Il10rb	NM_008349.5	155	168	48	107	131	140	220	222	37	129	98	182	52	41	100	74	132	134	46	88	79	138	193	58	117	130	122
118	Endogenous	Il12a	NM_008351.2	19	10	3	16	26	19	20	33	5	9	10	26	2	3	9	8	16	14	3	15	16	11	21	7	15	22	23
119	Endogenous	Il1a	NM_010554.4	8	12	4	10	7	11	9	15	7	10	7	6	4	1	5	7	8	17	3	8	10	11	13	4	7	11	5
120	Endogenous	Il1r1	NM_001123382.1	63	58	15	37	63	64	86	67	18	75	42	54	13	25	41	49	43	40	11	53	35	97	101	43	74	76	85
121	Endogenous	Il1rn	NM_031167.5	5	7	4	2	3	2	5	14	1	1	2	3	1	2	5	5	7	1	2	1	3	1	5	1	4	2	2
122	Endogenous	Il6ra	NM_010559.2	33	33	10	34	48	41	39	45	10	51	40	47	11	7	17	23	28	37	15	36	22	53	93	36	48	51	35
123	Endogenous	Il7	NM_008371.2	4	8	2	5	10	3	6	9	3	5	6	6	1	1	7	7	6	7	1	2	4	7	7	1	3	3	7
124	Endogenous	Il8rb	NM_009909.3	10	9	1	3	3	2	5	6	1	5	1	3	1	4	5	5	6	10	3	8	3	6	5	1	10	8	7
125	Endogenous	Itgb2/MAC-1	NM_008404.4	77	73	21	28	47	41	83	116	28	42	60	57	25	10	15	24	60	64	4	19	18	116	140	71	54	53	43
126	Endogenous	JAK3	NM_001190830.1	25	24	8	13	20	21	35	40	7	15	16	17	7	1	15	5	20	10	12	18	9	31	56	26	28	35	19
127	Endogenous	Limk1	NM_010717.2	256	177	67	181	319	302	280	277	64	318	227	365	53	64	201	144	179	189	39	162	153	386	527	174	474	460	376
128	Endogenous	Lrp1	NM_008512.2	1060	818	305	935	1576	1137	1627	1476	341	1587	1037	1727	241	288	674	560	820	865	185	798	682	2302	2703	1034	2846	2508	2013
129	Endogenous	Lrrk2	NM_025730.3	127	136	36	218	265	223	203	232	54	192	190	228	60	72	165	139	149	158	36	164	103	205	264	82	312	271	293
130	Endogenous	Lrrk2	NM_198578.2	37	45	15	66	57	61	63	65	12	49	60	54	9	10	40	28	25	28	8	22	25	117	133	46	162	120	76
131	Endogenous	Ltbr	NM_010736.3	37	34	7	20	34	38	46	54	6	44	42	57	16	13	24	25	44	46	12	27	19	64	64	20	41	39	43
132	Endogenous	Ly86	NM_010745.2	526	755	212	226	318	308	608	1006	226	393	278	383	200	59	144	91	593	528	146	97	142	658	660	325	227	265	266
133	Endogenous	Ly96	NM_001159711.1	40	32	9	33	33	62	68	60	6	41	38	45	8	10	20	11	31	30	10	20	29	43	71	28	68	56	39
134	Endogenous	Lysozyme_M_(Lyz2)	NM_017372.3	123	158	55	81	67	63	202	332	43	92	85	101	58	37	105	89	189	117	47	48	39	252	364	148	73	54	76
135	Endogenous	MAPT	NM_005910ex1.1	1	2	1	3	4	2	8	12	2	7	2	5	1	1	8	3	2	8	1	2	5	8	11	4	4	3	4
136	Endogenous	MAPT	NM_005910ex10.1	21	13	6	14	27	28	23	31	4	17	22	32	3	9	8	9	15	21	3	14	14	44	30	19	48	46	33
137	Endogenous	MARCO	NM_010766.2	1	5	1	7	8	1	6	6	1	1	6	9	1	3	7	7	10	8	5	5	11	10	11	1	11	4	1
138	Endogenous	MMP11	NM_008606.2	29	21	6	19	27	30	28	23	6	28	20	28	9	8	22	14	20	16	5	9	16	36	32	9	35	27	17
139	Endogenous	MMP2	NM_008610.2	15	13	2	23	21	17	27	19	5	17	12	20	8	5	8	10	11	15	3	19	14	24	34	14	22	21	18
140	Endogenous	MMP3	NM_010809.1	5	2	1	4	3	4	3	5	3	1	5	3	1	1	1	3	6	3	1	6	1	5	8	3	4	3	1
141	Endogenous	MMP9	NM_013599.2	6	5	1	7	12	8	12	15	3	10	14	14	1	3	6	22	7	6	3	7	4	12	12	5	15	13	15
142	Endogenous	Maff	NM_010755.3	10	7	6	3	12	15	16	17	5	15	8	13	1	5	6	8	11	1	3	5	6	22	25	15	16	14	17
143	Endogenous	Mafk	NM_010757.2	35	25	11	21	36	38	36	29	9	34	29	38	6	6	15	12	29	21	3	15	17	51	65	34	46	47	38
144	Endogenous	Map2k4	NM_009157.4	1537	1393	418	1327	2105	1969	2015	1841	438	1997	1506	2351	433	580	1351	1098	1523	1414	335	1389	1134	1766	2203	768	2194	2414	1999
145	Endogenous	Map2k6	NM_011943.2	131	124	42	120	151	161	150	163	39	141	124	166	27	43	77	55	92	84	23	86	79	170	214	87	207	178	135
146	Endogenous	Mapk8	NM_016700.3	738	786	228	833	1142	1078	1119	941	214	1029	819	1218	239	313	807	664	920	816	186	800	719	838	1123	424	1172	1178	1096
147	Endogenous	Mapt	NM_001038609ex9_11.1	108	116	25	137	146	117	148	138	21	103	96	172	28	47	86	75	83	84	24	109	75	156	189	61	211	201	137
148	Endogenous	Mapt	NM_001038609m.1	585	614	176	661	956	836	796	919	191	960	695	1054	152	208	529	403	503	467	114	558	456	1181	1436	570	1562	1539	1316
149	Endogenous	Masp2	NM_010767.3	2	1	3	7	12	6	10	16	5	12	9	16	2	1	6	8	6	7	1	4	2	12	12	8	25	12	18
150	Endogenous	Mbl2	NM_010776.1	3	5	1	1	4	5	3	3	1	5	1	2	1	1	1	1	1	2	1	2	6	10	8	3	6	4	2
151	Endogenous	Mef2b	NM_008578.2	5	7	1	2	10	6	8	15	4	8	5	12	3	1	3	5	6	4	1	4	3	6	14	6	12	12	2
152	Endogenous	Mef2c	NM_001170537.1	2557	2189	555	2272	3366	3236	3625	2985	650	3305	2351	3471	540	744	1583	1521	2107	1870	431	1910	1999	3629	3991	1583	4097	4170	3602
153	Endogenous	Mertk	NM_008587.1	120	101	48	123	137	123	166	177	50	129	130	187	33	53	106	94	108	113	23	119	63	242	339	147	314	306	305
154	Endogenous	Mfn1	NM_024200.4	191	147	42	196	233	246	259	228	43	245	182	289	55	87	194	143	176	198	40	185	185	263	304	118	350	358	380
155	Endogenous	Mrc1	NM_008625.2	76	82	36	29	58	52	133	190	36	54	41	57	17	19	28	45	109	74	13	51	32	63	78	22	65	54	34
156	Endogenous	Ms4a4a	XM_003086124.1	11	14	2	7	8	2	16	12	1	5	2	6	3	1	4	5	6	12	3	4	2	10	15	6	3	7	6
157	Endogenous	Ms4a6a	NM_026835.2	101	110	36	14	24	22	111	179	36	26	29	21	34	4	17	13	76	54	12	11	11	41	67	18	35	30	22
158	Endogenous	Msr1	NM_001113326.1	21	18	6	8	12	11	45	59	6	12	6	16	4	1	1	3	19	7	2	4	8	14	23	11	12	9	9
159	Endogenous	Myc	NM_010849.4	45	33	9	29	42	41	54	61	10	34	38	56	10	16	23	21	29	27	9	32	22	50	46	37	43	38	64
160	Endogenous	Myeloperoxidase	NM_010824.2	15	13	4	1	4	3	10	16	3	7	5	3	5	4	6	53	6	24	3	10	6	11	9	3	13	11	5
161	Endogenous	Myl2	NM_010861.3	10	13	2	8	22	11	8	11	1	20	9	14	2	2	10	7	7	8	2	9	9	14	21	7	27	14	17
162	Endogenous	NLRP3	NM_145827.3	9	15	9	16	17	15	29	20	3	24	21	34	6	9	10	10	11	20	4	14	13	25	47	8	19	10	15
163	Endogenous	NPY	NM_023456.2	1540	659	305	689	908	790	1724	1301	244	1032	716	1076	210	321	449	520	837	692	156	555	616	835	1072	376	1173	1029	1013
