"© 2000-2014 Ingenuity Systems, Inc. All rights reserved."			
			
Ingenuity Canonical Pathways	 -log(p-value)	Ratio	Molecules
TREM1 Signaling	2.13E+01	2.22E-01	"TREM1,NLRP3,TYROBP,IL10,TLR8,IL6,STAT3,TLR9,FCGR2B,TLR2,TLR4,MPO,CCL7,TLR1,TLR6,CASP1,TLR7,IL1B,TNF,ITGAX"
Dendritic Cell Maturation	2.04E+01	1.23E-01	"MAP2K4,B2M,IL1A,IL12A,TYROBP,TNFRSF1A,FCGR2A,IL10,MAPK8,HLA-DRB1,IL6,TLR9,TREM2,FCGR2B,FCGR1A,TLR2,TLR4,IL1RN,CREB1,HLA-DRA,FCER1G,IL1B,LTBR,TNFRSF1B,TNF,FCGR3A"
 	1.91E+01	2.31E-01	"CCR1,MAP2K4,MAP2K6,IL1A,IL10,FCGR2A,MAPK8,IL6,STAT3,IL1R1,FCGR2B,HMOX1,FOS,IL1RN,IL10RB,CD14,IL1B,TNF"
T Helper Cell Differentiation	1.75E+01	2.36E-01	"IFNG,STAT6,IL12A,TGFBR1,TNFRSF1A,IL10,IL6R,HLA-DRB1,IL6,STAT3,TGFB1,HLA-DRA,IL10RB,FCER1G,TNFRSF1B,TNF,IL4"
"Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis"	1.69E+01	1.00E-01	"MAP2K4,MAP2K6,IFNG,TNFSF11,ADAM17,IL1A,MMP3,TNFRSF1A,IL10,AXIN1,MAPK8,IL1R1,IL6,IL7,CSF1R,FOS,IGF1,CSF1,IL1RN,TGFB1,IL1B,TNFRSF1B,TNF,LRP1,IL4"
Complement System	1.66E+01	3.71E-01	"C4A/C4B,C1R,SERPING1,MBL2,C5AR1,MASP2,C3,C1S,CFB,C1QA,C1QB,C3AR1,C2"
NF-κB Signaling	1.60E+01	1.22E-01	"MAP2K6,TNFSF11,IL1A,TGFBR1,TNFRSF1A,TLR8,MAPK8,IL1R1,TLR9,TLR2,TLR4,IL1RN,TLR1,TLR6,TLR7,FCER1G,IL1B,LTBR,CASP8,TNFRSF1B,TNF,PRKCB"
Atherosclerosis Signaling	1.55E+01	1.37E-01	"IFNG,APOE,IL1A,MSR1,MMP3,CXCR4,CD36,IL6,CCL11,ITGB2,IL1RN,TGFB1,CSF1,IL1B,S100A8,SERPINA1,ALOX5,TNF,MMP9"
IL-6 Signaling	1.47E+01	1.45E-01	"MAP2K4,MAP2K6,IL1A,TNFRSF1A,HSPB2,IL6R,MAPK8,IL6,STAT3,IL1R1,FOS,IL1RN,CRP,CD14,IL1B,TNFRSF1B,TNF,HSPB1"
p38 MAPK Signaling	1.46E+01	1.50E-01	"MAP2K4,MAP2K6,IL1A,TGFBR1,TNFRSF1A,HSPB2,IL1R1,MEF2B,MYC,IL1RN,TGFB1,CREB1,TGFB3,IL1B,MEF2C,TNFRSF1B,TNF,HSPB1"
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	1.45E+01	9.91E-02	"MAP2K4,IFNG,APOE,PTPN6,TNFRSF1A,PPP2CA,MAPK8,TLR2,FOS,TLR4,NCF1,MPO,CAT,S100A8,SERPINA1,TNFRSF1B,NOS2,JAK3,TNF,IL4,PRKCB"
IL-12 Signaling and Production in Macrophages	1.36E+01	1.15E-01	"MAP2K4,IFNG,STAT6,APOE,IL12A,IL10,MAPK8,TLR2,FOS,TLR4,TGFB1,TGFB3,S100A8,SERPINA1,NOS2,TNF,IL4,PRKCB"
Toll-like Receptor Signaling	1.31E+01	2.03E-01	"TLR2,MAP2K6,MAP2K4,FOS,TLR4,LY96,TLR6,TLR1,TLR7,MAPK8,TLR8,CD14,TLR9"
Glucocorticoid Receptor Signaling	1.22E+01	7.36E-02	"MAP2K4,IFNG,TGFBR1,IL10,MAPK8,IL6,STAT3,CCL5,CCL11,CD163,FCGR1A,FOS,TGFB1,IL1RN,CREB1,TGFB3,IL1B,PTGS2,NOS2,JAK3,TNF,IL4"
Neuroprotective Role of THOP1 in Alzheimer's Disease	1.21E+01	2.00E-01	"MME,PLG,IFNG,ECE2,CREB1,SERPINA3,ECE1,IDE,MMP9,ACE,APP"
Type I Diabetes Mellitus Signaling	1.16E+01	1.24E-01	"MAP2K4,MAP2K6,IFNG,IL12A,TNFRSF1A,MAPK8,HLA-DRB1,IL1R1,HLA-DRA,FCER1G,IL1B,NOS2,CASP8,TNFRSF1B,TNF"
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	1.16E+01	2.39E-01	"CXCL10,CCR1,IFNG,IL1A,IL12A,CCL4,IL1RN,IL1B,CCL5,IL6,TNF"
Crosstalk between Dendritic Cells and Natural Killer Cells	1.16E+01	1.32E-01	"TLR4,IFNG,IL12A,TYROBP,HLA-DRA,TLR7,HLA-DRB1,LTBR,IL6,TNFRSF1B,TLR9,TREM2,TNF,IL4"
Hepatic Cholestasis	1.00E+01	8.20E-02	"MAP2K4,TLR4,IFNG,LY96,IL1A,IL1RN,TNFRSF1A,MAPK8,CD14,IL1B,IL1R1,IL6,TNFRSF1B,TNF,PRKCB"
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	9.86E+00	3.48E-01	"IFNG,IL1A,IL12A,CCL4,IL10,IL1B,CCL5,TNF"
Chemokine Signaling	9.32E+00	1.47E-01	"FOS,CCL4,CCL7,MYL2,CFL1,CXCR4,MAPK8,CCL5,CCL11,LIMK1,PRKCB"
IL-8 Signaling	9.12E+00	7.11E-02	"MAP2K4,MYL2,MAPK8,MMP2,CCND1,LIMK1,FOS,ITGB2,HMOX1,ITGAM,MPO,CXCR2,PTGS2,MMP9,ITGAX,PRKCB"
ILK Signaling	9.12E+00	7.80E-02	"MAP2K4,MAP2K6,CFL1,MYL2,PPP2CA,TNFRSF1A,MAPK8,CCND1,MYC,FOS,ITGB2,CREB1,PTGS2,NOS2,TNF,MMP9"
IL-17 Signaling	9.11E+00	1.47E-01	"MAP2K4,CXCL10,MAP2K6,MMP3,TIMP1,CRP,MAPK8,PTGS2,IL6,NOS2,CCL11"
Role of Cytokines in Mediating Communication between Immune Cells	9.11E+00	1.82E-01	"IFNG,IL1A,IL12A,IL10,IL1RN,TGFB1,IL1B,IL6,TNF,IL4"
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	9.08E+00	3.89E-01	"IL12A,CCL4,IL10,IL1B,CCL5,IL6,TNF"
HMGB1 Signaling	9.01E+00	1.10E-01	"MAP2K4,MAP2K6,TLR4,IFNG,FOS,IL1A,TNFRSF1A,MAPK8,IL1R1,TNFRSF1B,TNF,PLAT"
Systemic Lupus Erythematosus Signaling	8.91E+00	6.67E-02	"IL1A,PTPN6,IL10,FCGR2A,IL6R,IL6,FCGR2B,TLR9,FCGR1A,PTPRC,FOS,IL1RN,TLR7,FCER1G,IL1B,TNF,FCGR3A"
MSP-RON Signaling Pathway	8.64E+00	1.76E-01	"TLR2,ITGB2,TLR4,IFNG,ITGAM,IL12A,CSF1,NOS2,TNF"
Cholecystokinin/Gastrin-mediated Signaling	8.59E+00	1.13E-01	"MAP2K4,MAP2K6,FOS,IL1A,IL1RN,MAPK8,IL1B,MEF2C,PTGS2,TNF,MEF2B,PRKCB"
Graft-versus-Host Disease Signaling	8.55E+00	1.76E-01	"IFNG,IL1A,IL1RN,HLA-DRA,FCER1G,HLA-DRB1,IL1B,IL6,TNF"
Aryl Hydrocarbon Receptor Signaling	7.94E+00	7.60E-02	"MYC,FOS,CTSD,IL1A,TGFB1,HSPB2,TGFB3,MAPK8,IL1B,IL6,TNF,CCND1,HSPB1"
Inhibition of Matrix Metalloproteases	7.83E+00	2.00E-01	"ADAM17,MMP3,TIMP1,ADAM10,MMP2,MMP11,MMP9,LRP1"
MIF Regulation of Innate Immunity	7.65E+00	1.54E-01	"MAP2K4,TLR4,FOS,LY96,MAPK8,CD14,PTGS2,NOS2"
Pathogenesis of Multiple Sclerosis	7.58E+00	5.00E-01	"CXCL10,CCR1,CXCL9,CCL4,CCL5"
VDR/RXR Activation	7.57E+00	1.14E-01	"CXCL10,IFNG,TNFSF11,IL12A,IGFBP3,CD14,IGFBP5,CCL5,CALB1,PRKCB"
Role of IL-17F in Allergic Inflammatory Airway Diseases	7.31E+00	1.67E-01	"CXCL10,CCL4,IGF1,CCL7,CREB1,IL1B,IL6,CXCL6"
Pancreatic Adenocarcinoma Signaling	7.26E+00	8.59E-02	"MAP2K4,HMOX1,TGFBR1,TGFB1,MAPK8,TGFB3,STAT3,PTGS2,JAK3,CCND1,MMP9"
LPS/IL-1 Mediated Inhibition of RXR Function	7.22E+00	6.12E-02	"MAP2K4,APOE,IL1A,TNFRSF1A,MAPK8,IL1R1,ABCA1,TLR4,LY96,IL1RN,CAT,CD14,IL1B,TNFRSF1B,TNF"
Huntington's Disease Signaling	7.17E+00	5.95E-02	"MAP2K4,BDNF,GLS,CLTC,MAPK8,CTSD,IGF1,CREB1,CASP1,DLG4,UBC,CASP8,DNM1L,SNCA,PRKCB"
Hematopoiesis from Pluripotent Stem Cells	6.87E+00	1.27E-01	"IL1A,IL12A,CSF1,IL10,FCER1G,IL6,IL7,IL4"
PPARα/RXRα Activation	6.72E+00	6.50E-02	"MAP2K6,MAP2K4,TGFBR1,TGFB1,TGFB3,CD36,MAPK8,IL1B,MEF2C,IL6,IL1R1,ABCA1,PRKCB"
Role of IL-17A in Arthritis	6.67E+00	1.25E-01	"MAP2K4,MAP2K6,CCL7,MAPK8,CCL5,PTGS2,NOS2,CXCL6"
Germ Cell-Sertoli Cell Junction Signaling	6.47E+00	7.10E-02	"MAP2K4,MAP2K6,TUBB3,TGFBR1,AXIN1,TGFB1,TNFRSF1A,MAPK8,TGFB3,TUBB,TNF,LIMK1"
IL-17A Signaling in Gastric Cells	6.43E+00	2.14E-01	"MAP2K4,CXCL10,FOS,MAPK8,CCL5,TNF"
Death Receptor Signaling	6.42E+00	1.18E-01	"MAP2K4,TNFRSF1A,HSPB2,MAPK8,TNFRSF1B,CASP8,TNF,HSPB1"
Role of PKR in Interferon Induction and Antiviral Response	6.41E+00	1.43E-01	"MAP2K6,IFNG,TNFRSF1A,CASP8,EIF2S1,FCGR1A,TNF"
Cardiac Hypertrophy Signaling	6.31E+00	5.60E-02	"MAP2K4,MAP2K6,TGFBR1,MYL2,IL6R,MAPK8,IL6,MEF2B,IGF1,TGFB1,CREB1,TGFB3,MEF2C,HSPB1"
iNOS Signaling	6.12E+00	1.32E-01	"TLR4,IFNG,FOS,LY96,CD14,NOS2,JAK3"
Corticotropin Releasing Hormone Signaling	6.04E+00	6.90E-02	"FOS,BDNF,CREB1,CRH,MEF2C,PTGS2,CRHR1,NOS2,MEF2B,PRKCB"
14-3-3-mediated Signaling	5.90E+00	8.26E-02	"MAP2K4,FOS,TUBB3,TNFRSF1A,MAPK8,GFAP,TUBB,TNF,SNCA,PRKCB"
Role of MAPK Signaling in the Pathogenesis of Influenza	5.88E+00	1.11E-01	"MAP2K4,CXCL10,MAP2K6,IFNG,MAPK8,CCL5,PTGS2,TNF"
Regulation of the Epithelial-Mesenchymal Transition Pathway	5.78E+00	6.12E-02	"MAP2K4,MAP2K6,ADAM17,TGFBR1,AXIN1,TGFB1,EGR1,TGFB3,MMP2,STAT3,JAK3,MMP9"
PPAR Signaling	5.77E+00	8.41E-02	"FOS,IL1A,IL1RN,TNFRSF1A,IL1B,IL1R1,PTGS2,TNFRSF1B,TNF"
LPS-stimulated MAPK Signaling	5.64E+00	9.64E-02	"MAP2K4,MAP2K6,TLR4,FOS,CREB1,MAPK8,CD14,PRKCB"
Tec Kinase Signaling	5.60E+00	5.98E-02	"MAP2K4,TLR4,STAT6,FOS,MAPK8,HCK,FCER1G,STAT3,JAK3,TNF,PRKCB"
Inhibition of Angiogenesis by TSP1	5.59E+00	1.43E-01	"MAP2K4,TGFBR1,TGFB1,MAPK8,CD36,MMP9"
Leukocyte Extravasation Signaling	5.37E+00	5.71E-02	"MAP2K4,ITGB2,NCF1,ITGAM,MMP3,CXCR4,TIMP1,MAPK8,MMP2,MMP11,MMP9,PRKCB"
Ceramide Signaling	5.34E+00	8.79E-02	"MAP2K4,CTSD,FOS,PPP2CA,TNFRSF1A,MAPK8,TNFRSF1B,TNF"
Renin-Angiotensin Signaling	5.24E+00	7.14E-02	"MAP2K4,FOS,PTPN6,MAPK8,STAT3,CCL5,TNF,ACE,PRKCB"
Induction of Apoptosis by HIV1	5.23E+00	1.04E-01	"MAP2K4,CXCR4,TNFRSF1A,MAPK8,TNFRSF1B,CASP8,TNF"
Allograft Rejection Signaling	5.21E+00	8.25E-02	"B2M,IFNG,IL10,HLA-DRA,FCER1G,HLA-DRB1,TNF,IL4"
Endothelin-1 Signaling	5.19E+00	5.73E-02	"MYC,HMOX1,FOS,ECE2,CASP1,MAPK8,ECE1,PTGS2,CASP8,NOS2,PRKCB"
Activation of IRF by Cytosolic Pattern Recognition Receptors	5.04E+00	9.59E-02	"MAP2K4,IFIH1,IL10,ZBP1,MAPK8,IL6,TNF"
Role of JAK family kinases in IL-6-type Cytokine Signaling	5.02E+00	1.79E-01	"MAP2K4,IL6R,MAPK8,STAT3,IL6"
NRF2-mediated Oxidative Stress Response	5.00E+00	5.64E-02	"MAP2K4,MAP2K6,HMOX1,FOS,FTL,SOD1,CAT,MAPK8,MAFK,MAFF,PRKCB"
IL-17A Signaling in Airway Cells	4.99E+00	9.21E-02	"MAP2K4,MAPK8,STAT3,IL6,CCL11,JAK3,CXCL6"
Factors Promoting Cardiogenesis in Vertebrates	4.99E+00	8.08E-02	"TGFBR1,MYL2,AXIN1,TGFB1,TGFB3,MEF2C,LRP1,PRKCB"
Role of NFAT in Cardiac Hypertrophy	4.96E+00	5.26E-02	"MAP2K4,MAP2K6,TGFBR1,IGF1,TGFB1,MAPK8,TGFB3,MEF2C,IL6,MEF2B,PRKCB"
TNFR2 Signaling	4.76E+00	1.47E-01	"MAP2K4,FOS,MAPK8,TNFRSF1B,TNF"
TNFR1 Signaling	4.74E+00	1.11E-01	"MAP2K4,FOS,TNFRSF1A,MAPK8,CASP8,TNF"
CCR5 Signaling in Macrophages	4.73E+00	7.22E-02	"MAP2K4,FOS,CCL4,MAPK8,FCER1G,CCL5,PRKCB"
IGF-1 Signaling	4.71E+00	7.48E-02	"IGFBP4,FOS,IGF1,MAPK8,IGFBP3,IGFBP5,STAT3,IGFBP2"
B Cell Receptor Signaling	4.71E+00	5.71E-02	"MAP2K4,MAP2K6,PTPRC,PTPN6,FCGR2A,EGR1,CREB1,MAPK8,FCGR2B,PRKCB"
Xenobiotic Metabolism Signaling	4.67E+00	4.51E-02	"MAP2K6,MAP2K4,HMOX1,IL1A,FTL,PPP2CA,CAT,MAPK8,IL1B,IL6,NOS2,TNF,PRKCB"
Cdc42 Signaling	4.66E+00	5.38E-02	"MAP2K4,B2M,FOS,MYL2,CFL1,HLA-DRA,MAPK8,FCER1G,HLA-DRB1,LIMK1"
HGF Signaling	4.62E+00	7.21E-02	"MAP2K4,FOS,MAPK8,STAT3,PTGS2,IL6,CCND1,PRKCB"
Mitochondrial Dysfunction	4.54E+00	4.65E-02	"MAP2K4,CAT,MAPK8,LRRK2,BACE1,CASP8,SNCA,APP,PINK1,AIFM1"
PDGF Signaling	4.46E+00	8.14E-02	"MAP2K4,MYC,FOS,MAPK8,STAT3,JAK3,PRKCB"
Role of NFAT in Regulation of the Immune Response	4.43E+00	5.00E-02	"FOS,FCGR2A,HLA-DRA,FCER1G,HLA-DRB1,MEF2C,FCGR2B,FCGR1A,FCGR3A,MEF2B"
Wnt/β-catenin Signaling	4.43E+00	5.71E-02	"MYC,TGFBR1,PPP2CA,AXIN1,TGFB1,SOX10,TGFB3,UBC,CCND1,LRP1"
Molecular Mechanisms of Cancer	4.23E+00	3.61E-02	"MYC,MAP2K6,MAP2K4,FOS,TGFBR1,TGFB1,AXIN1,TGFB3,MAPK8,JAK3,CASP8,CCND1,LRP1,PRKCB"
Axonal Guidance Signaling	4.23E+00	3.29E-02	"ADAM17,TUBB3,CFL1,MYL2,BDNF,CXCR4,MMP2,TUBB,LIMK1,IGF1,ECE2,ADAM10,MMP11,ACE,MMP9,PRKCB"
CD28 Signaling in T Helper Cells	4.15E+00	5.88E-02	"MAP2K4,PTPRC,FOS,PTPN6,HLA-DRA,MAPK8,FCER1G,HLA-DRB1"
FXR/RXR Activation	4.15E+00	6.36E-02	"MAP2K4,APOE,IL1A,IL1RN,MAPK8,IL1B,TNF"
Clathrin-mediated Endocytosis Signaling	4.15E+00	5.05E-02	"ITGB2,APOE,IGF1,TF,CLTC,SERPINA1,S100A8,DNM1L,UBC,SNAP91"
TGF-β Signaling	4.12E+00	7.45E-02	"MAP2K4,MAP2K6,FOS,TGFBR1,TGFB1,MAPK8,TGFB3"
Apoptosis Signaling	4.09E+00	7.00E-02	"MAP2K4,TNFRSF1A,MAPK8,TNFRSF1B,CASP8,TNF,AIFM1"
Tight Junction Signaling	4.06E+00	5.39E-02	"FOS,TGFBR1,MYL2,PPP2CA,TGFB1,TNFRSF1A,TGFB3,TNFRSF1B,TNF"
Airway Pathology in Chronic Obstructive Pulmonary Disease	4.06E+00	2.73E-01	"MMP2,TNF,MMP9"
CD40 Signaling	4.01E+00	8.45E-02	"MAP2K4,MAP2K6,FOS,MAPK8,STAT3,JAK3"
Eicosanoid Signaling	4.01E+00	6.98E-02	"ALOX5AP,PTGS2,PTGDS,ALOX5,PTGER4,PTGER1"
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	3.94E+00	6.60E-02	"HMOX1,NCF1,FCGR2A,HCK,FCGR1A,FCGR3A,PRKCB"
JAK/Stat Signaling	3.86E+00	8.45E-02	"STAT6,FOS,PTPN6,STAT3,IL6,JAK3"
PI3K Signaling in B Lymphocytes	3.85E+00	5.59E-02	"PTPRC,TLR4,FOS,C3,CREB1,FCGR2B,IL4,PRKCB"
Neurotrophin/TRK Signaling	3.82E+00	7.89E-02	"MAP2K4,MAP2K6,FOS,BDNF,CREB1,MAPK8"
Macropinocytosis Signaling	3.82E+00	7.79E-02	"MRC1,ITGB2,CSF1,CD14,CSF1R,PRKCB"
GNRH Signaling	3.81E+00	5.23E-02	"MAP2K4,MAP2K6,FOS,EGR1,CREB1,MAPK8,DNM1L,PRKCB"
Growth Hormone Signaling	3.79E+00	7.69E-02	"FOS,PTPN6,IGF1,IGFBP3,STAT3,PRKCB"
IL-22 Signaling	3.78E+00	1.60E-01	"MAP2K4,IL10RB,MAPK8,STAT3"
STAT3 Pathway	3.65E+00	7.50E-02	"MAP2K4,MYC,PTPN6,TGFBR1,MAPK8,STAT3"
Autoimmune Thyroid Disease Signaling	3.65E+00	8.06E-02	"IL10,HLA-DRA,FCER1G,HLA-DRB1,IL4"
IL-4 Signaling	3.62E+00	7.50E-02	"STAT6,PTPN6,HLA-DRA,HLA-DRB1,JAK3,IL4"
Sertoli Cell-Sertoli Cell Junction Signaling	3.59E+00	4.55E-02	"MAP2K4,TUBB3,AXIN1,TNFRSF1A,MAPK8,TGFB3,TUBB,NOS2,TNF"
Acute Myeloid Leukemia Signaling	3.53E+00	7.14E-02	"MAP2K4,MAP2K6,MYC,STAT3,CCND1,CSF1R"
Fc Epsilon RI Signaling	3.51E+00	5.98E-02	"MAP2K4,MAP2K6,MAPK8,FCER1G,TNF,IL4,PRKCB"
Hematopoiesis from Multipotent Stem Cells	3.48E+00	2.50E-01	"CSF1,IL7,IL4"
CD27 Signaling in Lymphocytes	3.48E+00	8.47E-02	"MAP2K4,MAP2K6,FOS,MAPK8,CASP8"
Reelin Signaling in Neurons	3.47E+00	7.06E-02	"MAP2K4,ITGB2,APOE,MAPK8,HCK,APP"
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	3.47E+00	6.74E-02	"MAP2K4,FOS,TGFBR1,TGFB1,MAPK8,TGFB3"
Role of IL-17A in Psoriasis	3.37E+00	2.14E-01	"S100A9,S100A8,CXCL6"
Type II Diabetes Mellitus Signaling	3.34E+00	4.09E-02	"MAP2K4,TNFRSF1A,MAPK8,CD36,TNFRSF1B,TNF,PRKCB"
B Cell Development	3.28E+00	1.11E-01	"PTPRC,HLA-DRA,HLA-DRB1,IL7"
Superpathway of Citrulline Metabolism	3.27E+00	7.89E-02	"GLS,NOS2,ARG1"
OX40 Signaling Pathway	3.27E+00	6.19E-02	"MAP2K4,B2M,HLA-DRA,MAPK8,FCER1G,HLA-DRB1"
MIF-mediated Glucocorticoid Regulation	3.23E+00	9.52E-02	"TLR4,LY96,CD14,PTGS2"
Myc Mediated Apoptosis Signaling	3.22E+00	7.94E-02	"MAP2K4,MYC,IGF1,MAPK8,CASP8"
PAK Signaling	3.21E+00	5.45E-02	"MAP2K4,MYL2,CFL1,MAPK8,TNF,LIMK1"
Bladder Cancer Signaling	3.19E+00	6.19E-02	"MYC,MMP3,MMP2,MMP11,CCND1,MMP9"
Coagulation System	3.13E+00	1.05E-01	"PLG,VWF,SERPINA1,PLAT"
IL-17A Signaling in Fibroblasts	3.13E+00	1.00E-01	"FOS,CCL7,CEBPD,IL6"
IL-1 Signaling	3.09E+00	5.50E-02	"MAP2K4,MAP2K6,FOS,IL1A,MAPK8,IL1R1"
Role of JAK1 and JAK3 in γc Cytokine Signaling	3.09E+00	7.35E-02	"STAT6,STAT3,JAK3,IL7,IL4"
Airway Inflammation in Asthma	3.09E+00	3.33E-01	"TNF,IL4"
Antigen Presentation Pathway	3.04E+00	9.52E-02	"B2M,IFNG,HLA-DRA,HLA-DRB1"
ERK5 Signaling	3.02E+00	7.35E-02	"MYC,FOS,CREB1,MEF2C,MEF2B"
Amyotrophic Lateral Sclerosis Signaling	2.95E+00	4.76E-02	"PRPH,GRIN2A,SOD1,IGF1,CAT,CASP1"
Ephrin Receptor Signaling	2.94E+00	3.81E-02	"GRIN2A,CFL1,CXCR4,AXIN1,CREB1,ADAM10,STAT3,LIMK1"
Thyroid Cancer Signaling	2.91E+00	9.09E-02	"CXCL10,MYC,BDNF,CCND1"
HIF1α Signaling	2.86E+00	5.36E-02	"MMP3,MAPK8,MMP2,MMP11,NOS2,MMP9"
UVC-Induced MAPK Signaling	2.83E+00	9.09E-02	"MAP2K4,FOS,MAPK8,PRKCB"
IL-3 Signaling	2.82E+00	6.67E-02	"STAT6,FOS,PTPN6,STAT3,PRKCB"
ERK/MAPK Signaling	2.75E+00	3.79E-02	"MYC,FOS,PPP2CA,HSPB2,CREB1,STAT3,HSPB1,PRKCB"
Caveolar-mediated Endocytosis Signaling	2.74E+00	5.88E-02	"B2M,ITGB2,ITGAM,Cd55/Daf2,ITGAX"
Phospholipase C Signaling	2.72E+00	3.40E-02	"HMOX1,MYL2,FCGR2A,CREB1,FCER1G,MEF2C,FCGR2B,MEF2B,PRKCB"
Natural Killer Cell Signaling	2.71E+00	5.08E-02	"PTPN6,FCGR2A,TYROBP,FCER1G,FCGR3A,PRKCB"
Superoxide Radicals Degradation	2.70E+00	2.50E-01	"SOD1,CAT"
Role of Tissue Factor in Cancer	2.69E+00	4.62E-02	"CFL1,CSF1,EGR1,HCK,IL1B,LIMK1"
CXCR4 Signaling	2.64E+00	4.02E-02	"MAP2K4,FOS,MYL2,CXCR4,EGR1,MAPK8,PRKCB"
PKCθ Signaling in T Lymphocytes	2.59E+00	4.17E-02	"MAP2K4,FOS,HLA-DRA,MAPK8,FCER1G,HLA-DRB1"
"Role of JAK1, JAK2 and TYK2 in Interferon Signaling"	2.56E+00	1.07E-01	"IFNG,PTPN6,STAT3"
P2Y Purigenic Receptor Signaling Pathway	2.49E+00	4.17E-02	"MYC,FOS,P2RY6,CREB1,P2RY12,PRKCB"
