Names	Tg_CTRL vs. Tg_IL10	Tg_CTRL vs. Tg_OLD	Tg_CTRL vs. WT_CTRL	Tg_CTRL vs. WT_IL10	Tg_CTRL vs. WT_OLD	Tg_IL10 vs. Tg_OLD	Tg_IL10 vs. WT_CTRL	Tg_IL10 vs. WT_IL10	Tg_IL10 vs. WT_OLD	Tg_OLD vs. WT_CTRL	Tg_OLD vs. WT_IL10	Tg_OLD vs. WT_OLD	WT_CTRL vs. WT_IL10	WT_CTRL vs. WT_OLD	WT_IL10 vs. WT_OLD
NM_008512.2	0	  -0.6895	     0.2981	   0.1605	  -0.5995	  -0.72283	    0.26477	0	  -0.63283	   0.9876	      0.85	0	0	  -0.8976	    -0.76
NM_025730.3	    0.3585	  0.26867	0	0	0	0	    -0.3903	0	  -0.48183	 -0.30047	  -0.31767	0	0	0	-0.074333
NM_198578.2	0	 -0.90717	    0.95903	   1.0993	0	   -1.1817	    0.68453	   0.82483	   -1.0957	   1.8662	    2.0065	0	0	  -1.7802	  -1.9205
NM_010736.3	0	 -0.47367	0	  -0.9085	0	   -0.9715	0	0	0	  0.81247	  -0.43483	0	  -1.2473	0	   1.0428
NM_010745.2	   -1.3457	    -0.92	    0.81273	  -1.4754	0	   0.42567	     2.1584	0	    1.9817	   1.7327	  -0.55542	     1.556	  -2.2881	0	   2.1114
NM_001159711.1	0	   -0.295	0	  0.23058	0	0	0	0	0	   1.8459	0	0	0	0	 -0.40458
NM_017372.3	   -1.3868	  -1.8658	0	  -1.6815	0	    -0.479	     1.0599	0	    2.0347	   1.5389	0	    2.5137	  -1.3546	0	   2.3293
NM_005910ex1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_005910ex10.1	    1.3332	 -0.75517	     2.3239	     1.95	  -1.1475	   -2.0884	0	0	   -2.4807	    3.079	    2.7052	0	0	  -3.4714	  -3.0975
NM_010766.2	0	0	0	 -0.66925	0	0	0	0	0	0	0	0	0	0	  0.66925
NM_008606.2	0	0	0	  0.59575	0	0	0	0	0	0	0	0	0	0	 -0.31408
NM_008610.2	0	  -1.0079	0	   1.1632	0	   -1.6542	0	0	0	   2.3243	    2.1711	0	0	  -1.5463	  -1.3931
NM_010809.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_013599.2	0	  0.35347	0	  0.35347	0	0	0	0	0	0	0	0	0	0	  -1.2028
NM_010755.3	0	  -2.2508	0	  0.70517	0	   -2.0087	0	0	0	   2.4806	     2.956	0	0	0	   -1.438
NM_010757.2	0	 -0.96217	     2.1751	   1.5866	0	   -1.0333	     2.1039	0	    -0.378	   3.1373	    2.5488	0	0	  -2.4819	  -1.8934
NM_009157.4	  0.076667	    0.195	   -0.10967	 -0.16917	0	   0.11833	   -0.18633	  -0.24583	0	 -0.30467	  -0.36417	0	0	0	  0.22417
NM_011943.2	0	 -0.20433	    0.32333	  0.26408	0	  -0.14017	     0.3875	   0.32825	0	  0.52767	   0.46842	0	0	0	 -0.22708
NM_016700.3	   0.15017	  0.29683	   -0.21143	 -0.22583	0	   0.14667	    -0.3616	    -0.376	0	 -0.50827	  -0.52267	0	0	  0.33527	  0.34967
NM_001038609ex9_11.1	0	0	0	0	0	0	    -0.2846	0	  -0.41833	0	0	0	0	0	 -0.31583
NM_001038609m.1	   0.19467	 -0.38767	    0.16567	  0.29667	   -0.487	  -0.58233	0	0	  -0.68167	  0.55333	   0.68433	 -0.099333	0	 -0.65267	 -0.78367
NM_010767.3	0	0	0	   0.3107	0	0	      0.644	0	0	0	0	0	0	0	  -2.0297
NM_010776.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_008578.2	0	 -0.32187	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001170537.1	      0.11	   -0.105	0	    0.125	0	    -0.215	0	0	  -0.21833	    0.214	      0.23	0	0	 -0.21733	 -0.23333
NM_008587.1	  -0.20417	 -0.95567	0	 -0.07825	 -0.92467	   -0.7515	0	0	   -0.7205	  0.83347	   0.87742	0	0	 -0.80247	 -0.84642
NM_024200.4	   0.26617	0	   -0.29537	 -0.13417	0	  -0.30533	   -0.56153	  -0.40033	  -0.63867	  -0.2562	0	0	0	0	 -0.23833
NM_008625.2	    -1.604	 -0.18667	0	   -1.133	0	    1.4173	     1.3212	0	    1.8307	0	  -0.94633	0	0	0	   1.3597
XM_003086124.1	  -0.50917	 -0.32187	0	0	0	0	    0.50917	0	0	0	0	0	0	0	0
NM_026835.2	   -3.3932	  -1.3765	     1.9249	  -2.7985	0	    2.0167	     5.3181	0	    3.0403	   3.3014	    -1.422	    1.0237	  -4.7234	  -2.2777	   2.4457
NM_001113326.1	   -2.6956	  -1.1882	0	0	0	0	     3.1137	0	    2.8896	0	0	0	0	0	  0.53318
NM_010849.4	0	0	0	  0.16933	0	0	0	0	0	0	0	0	0	0	 -0.14967
NM_010824.2	   -0.6976	0	0	  -1.2795	0	    0.6976	0	0	    0.6976	0	0	0	0	0	   1.2795
NM_010861.3	     1.017	0	0	   1.1621	0	0	0	0	0	0	0	0	0	0	   -2.052
NM_145827.3	    1.0415	0	     1.9637	   1.5146	0	0	0	0	0	   2.2273	    1.7783	0	0	0	0
NM_023456.2	    -0.512	  0.13983	0	 -0.25775	0	   0.65183	     0.4503	0	   0.49983	 -0.20153	  -0.39758	0	0	0	  0.24558
NM_010876.3	     -0.82	  -1.4757	     1.1287	 -0.69233	0	  -0.65567	     1.9487	0	    1.0297	   2.6043	   0.78333	    1.6853	   -1.821	0	    0.902
NM_008604.3	   0.26367	0	0	0	0	0	    -0.2319	0	  -0.41517	0	0	    -0.237	0	0	-0.050417
NM_010927.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_183168.2	  -0.93183	  -1.6953	0	  -1.6213	0	0	     1.5541	0	    2.1975	   2.3176	0	     2.961	0	0	    2.887
NM_027571.3	   0.95067	 -0.23283	    0.27183	  0.37633	  0.26117	   -1.1835	   -0.67883	  -0.57433	   -0.6895	  0.50467	   0.60917	0	0	0	 -0.11517
NM_025800.3	      0.09	0	0	0	0	     -0.11	0	0	  -0.11667	0	0	0	0	0	  -0.0475
NM_001109752.1	   0.20167	     -0.6	    0.32667	  0.47167	0	  -0.80167	      0.125	0	    -0.705	  0.92667	    1.0717	0	0	    -0.83	   -0.975
NM_001081211.1	0	  -1.8672	0	0	0	   -1.4938	     1.4582	0	0	    2.952	0	0	0	0	  0.39275
NM_008963.2	   0.18333	 -0.47833	0	0	   -0.435	  -0.66167	   -0.35233	0	  -0.61833	  0.30933	   0.56583	0	0	0	  -0.5225
NM_013641.2	0	  -1.0313	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_008965.1	0	0	0	   0.1865	0	0	    0.94732	0	0	0	0	0	0	0	0
NM_011198.3	0	0	0	0	  -0.5695	0	0	0	0	0	0	0	0	0	 -0.54792
NM_011210.3	   -1.9148	  -1.1333	0	  -2.0078	0	    0.7815	      2.355	0	    2.6458	   1.5735	  -0.87442	    1.8643	   -2.448	0	   2.7387
NM_001164366.1	0	  -1.3448	     1.1215	   2.2275	  -1.1828	   -1.4142	     1.0522	0	   -1.2522	   2.4663	    3.5723	0	0	  -2.3043	  -3.4103
NM_001163588.1	0	0	0	   1.2193	0	0	0	0	   -1.8255	0	0	0	0	0	   -2.696
NM_026880.2	0	 -0.46183	0	  0.15433	 -0.51183	  -0.42617	     0.1355	0	  -0.47617	  0.56167	   0.61617	0	0	 -0.61167	 -0.66617
NM_008877.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_008855.2	   0.19333	0	0	0	0	  -0.16167	0	0	  -0.26833	0	0	0	0	0	 -0.10417
NM_013545.2	    -1.212	     -0.9	    0.71307	  -1.4111	  0.64667	0	     1.9251	0	    1.8587	   1.6131	  -0.51108	    1.5467	  -2.1241	0	   2.0577
NM_016740.3	  -0.51083	  -0.6195	0	 -0.35242	0	0	0	0	   0.39633	0	0	     0.505	0	0	  0.23792
NM_013650.2	   -1.2893	0	0	0	0	     1.762	0	0	0	0	0	0	0	0	   2.1843
NM_009114.2	     -1.66	  0.25267	0	  -2.3061	0	    1.9127	0	0	    1.9127	0	   -2.5587	0	0	0	   2.5587
NM_009243.3	0	  -2.2623	0	  0.30423	0	   -2.1012	0	0	0	   2.3499	    2.5666	     2.035	0	0	 -0.53156
NM_009252.2	   -1.0945	  -2.4615	    0.63143	0	0	    -1.367	     1.7259	0	   0.90333	   3.0929	    2.3186	    2.2703	0	  -0.8226	0
NM_000454.4	0	0	0	-0.031775	0	0	0	0	0	0	0	0	0	0	 0.031775
NM_011434.1	0	 0.086667	     -0.272	  -0.2325	0	     0.155	   -0.20367	0	0	 -0.35867	  -0.31917	0	0	0	  0.23917
NM_213659.2	  -0.42167	  -0.7585	    0.15417	 -0.24883	0	  -0.33683	    0.57583	0	   0.31183	  0.91267	   0.50967	   0.64867	   -0.403	   -0.264	    0.139
NM_009284.2	    -0.229	  -0.2295	0	 -0.16825	0	0	     0.3671	0	0	0	0	0	0	0	  0.06275
NM_009776.3	   -2.1488	  -2.7695	0	0	0	0	     2.4697	0	0	   3.0903	    2.3603	0	0	0	   -1.247
NM_013669.1	0	 0.028333	    0.14167	  0.11417	0	0	    0.20167	0	0	  0.11333	0	0	0	0	  -0.1825
XM_128139.6	0	 -0.51217	0	0	0	    -0.443	0	0	0	  0.55633	   0.58058	0	0	0	 -0.45992
NM_009221.2	0	   0.5045	   -0.27057	 -0.30017	0	   0.57733	   -0.19773	0	     0.338	 -0.77507	  -0.80467	0	0	  0.53573	  0.56533
NM_007375.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
